PopularWords,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bosnian,Bulgarian,Catalan,Cebuano,Chichewa,Chinese Simplified,Chinese Traditional,Corsican,Croatian,Czech,Danish,Dutch,Esperanto,Estonian,Filipino,Finnish,French,Frisian,Galician,Georgian,German,Greek,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Igbo,Indonesian,Irish,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Korean,Kurdish (Kurmanji),Kyrgyz,Lao,Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Odia,Pashto,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Samoan,Scots Gaelic,Serbian,Sesotho,Shona,Sindhi,Sinhala,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Tatar,Telugu,Thai,Turkish,Turkmen,Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
beautiful,pragtige,e bukur,???,?????,???????,gîz?l,eder,???????,??????,lijep,??????,bonic,matahum nga,kukongola,??,??,bellu,lijep,Kr†sn†,smuk,mooi,bela,ilus,maganda,kaunis,beau,moai,fermoso,??????,schîn,„‡?Ó???Ì?,?????,bäl,kyau,u?i,???,?????,zoo nkauj,szÇp,falleg,mara mma,indah,go h†lainn,bellissimo,???,ayu,?????,?????,??????????,mwiza,????,bedew,?????,???,pulchram,skaists,gra?us,schÇin,?????????,tsara tarehy,indah,?????????,sbie?,ataahua,?????,??????,??????????,??????,vakker,??????,????,?????,pi?kny,bonita,?????,frumoasa,????????,aulelei,bïidheach,????,ntle,runako,???????,?????,kr†sny,lepa,qurux badan,hermosa,geulis,nzuri,vacker,????,?????,?????,???????,???,gÅzel,owadan,??????,???????,????????,chiroyli,??p,hardd,entle,????,l?wa,enhle
black,swart,e zezâ,???,????,???,qara,beltza,?????,????,crn,?????,negre,itom,wakuda,??,??,neru,crno,?ern†,sort,zwart,nigra,must,itim,musta,noir,Swart,negro,????,schwarz,?‡????,????,nwa,baki,ele?ele,???????,????,dub,fekete,Svartur,black,hitam,dubh,nero,?,ireng,?????,????,????,umukara,??,re?,????,?????,nigrum,melns,juodas,schwaarz,????,mainty,hitam,??????,iswed,pango,????,???,?????????,????,svart,???,???,????,czarny,Preto,????,negru,??????,lanu uliuli,Dubh,???,ba batsho,nhema,????,???,?ierna,?rna,madow,negro,hideung,nyeusi,svart,????,???????,????,??????,????,siyah,gara,??????,????,black,qora,?en,du,mnyama,???????,dudu,black
blue,blou,blu,????,????,???????,mavi,urdinak,????,???,plava boja,???,blau,azul,buluu,??,??,turchinu,plava,modr?,blÜ,blauw,blua,sinine,bughaw,sininen,bleu,blau,azul,?????,blau,?„?Ó,?????,ble,blue,pol?,???????,????,xiav,kÇk,Bl†r,acha an?n? an?n?,biru,gorm,blu,?,biru,?????,???,???,ubururu,??,?ån,???,??????????,hyacinthum,zils,m?lynas,blo,????,manga,biru,???,blu,puru,????,???,??????,????,blÜ,???,???,???,niebieski,azul,????,albastru,?????,lanu moaga,gorm,?????,putsoa,bhuruu,????,????,Modr†,blue,buluug,azul,biru,bluu,blÜ,?????,???,??????,????,?????????,mavi,gîk,?????,????,???,ko'k,mÖu xanh da tr?i,glas,luhlaza,????,blue,blue
cat,kat,Mace,???,??,?????,pi?ik,katu,???,??????,ma?ka,?????,gat,iring,mphaka,?,?,cat,ma?ka,ko?ka,kat,kat,kato,kass,pusa,kissa,chat,kat,gato,????,Katze,‚?Á‡,??????,chat,cat,p?poki,????,??????,miv,cica,Kîttur,cat,kucing,cat,gatto,??,kucing,??????,?????,????,injangwe,???,pisåk,?????,cat,feles,ka?is,kat?,Kaz,?????,saka,kucing,?????,qattus,ngeru,?????,????,??????,??????,katt,?????,????,????,kot,gato,?????,pisic?,???,pusi,cat,?????,katse,katsi,???,????,ma?ka,ma?ka,cat,gato,ucing,paka,katt,?????,????,????,??????,???,kedi,pi?ik,???,???,?????,mushuk,con mäo,cath,ikati,????,o nran,cat
dog,hond,qen,??,?????,????,it,txakur,??????,?????,pas,????,gos,iro,galu,?,?,cane,pas,Pes,hund,hond,hundo,koer,aso,koira,chien,hñn,can,?????,Hund,Â?????,?????,chen,kare,??lio,??????,??????,aub,kutya,Hundur,nk?ta,anjing,madra,cane,?,asu,????,??,????????,imbwa,?,se,??,???,canis,suns,?uo,Hond,????,alika,anjing,????,kelb,kuri,??????,?????,????,?????,hund,?????,???,??,pies,cachorro,?????,cÉine,??????,maile,có,???,ntja,imbwa,????,?????,pes,pes,eyga,perro,anjing,mbwa,hund,???,????,??,?????,???,kîpek,it,???,???,???,it,ch¢,ci,inja,????,aja,inja
family,gesin,familje,????,????,???????,ail?,familia,???'?,??????,porodica,?????????,fam°lia,pamilya,banja,??,??,famiglia,obitelj,rodina,familie,familie,familio,pere,pamilya,perhe,famille,famylje,familia,??????,Familie,???????Ó?‡,??????,fanmi,iyali,ohana,??????????,??????,tsev neeg,csal†d,Fjîlskylda,ezin?l?,keluarga,teaghlaigh,famiglia,??,kulawarga,???????,??????,????????????,umuryango,??,malbat,??-????,??????,familia,?imene,?eimos,Famill,?????????,family,keluarga,???????,familja,wh?nau,??????,??? ???,???????,??????,familie,??????,?????,???????,rodzina,fam°lia,??????,familie,?????,aiga,teaghlach,????????,lelapa,mhuri,??????,??????,rodina,dru?ina,qoyska,familia,kulawarga,familia,familj,????,???????,?????,???????,????????,aile,ma?gala,???'?,??????,??????,oila,gia ?çnh,teulu,usapho,?????????,ebi,umndeni
father,pa,baba,???,????,????,ata,aita,??????,????,otac,????,pare,amahan,bambo,??,??,babbu,otac,otec,far,vader,patro,isa,ama,isÑ,päre,heit,pai,????,Vater,„‡Á??‡?,????,papa,uba,makuak?ne,??????,????,txiv,apa,Fa?ir,nna,ayah,athair,padre,????,rama,????,???,????,se,???,bav,???,???????,pater,t?vs,t?vas,Papp,?????,ray,bapa,??????,missier,papa,????,???,????,????,far,????,????,???,ojciec,pai,????,tat?,????,tama,athair,????,ntate,baba,???,????,otec,o?e,aabbahay,padre,bapa,baba,far,?????,?????,?????,??????,???,baba,kakasy,??????,???? ????,??????,ota,cha,tad,utata,?????,baba,uyise
friend,vriend,mik,???,????,?????,dost,Lagun,?????,?????,prijatelj,???????,amic,higala,bwenzi,??,??,amicu,prijatelj,p?°tel,ven,vriend,amiko,s?ber,kaibigan,ystÑvÑ,ami,freon,amiga,????????,Freund,Ì????,?????,zanmi,aboki,hoa aloha,?????,?????,phooj ywg,bar†t,Vinur,enyi,teman,cara,amico,??,kanca,?????,???,??????????,inshuti,??,heval,???,??????,amicus,draugs,draugas,Frând,????????,namana,rakan,?????????,?abib,hoa,?????,????,???????,?????,venn,?????,?????,????,przyjaciel,amigos,????,prieten,????,uo,caraid,????????,motsoalle,shamwari,????,??????,priate?,prijatelj,saaxiib,amigo,sobat,rafiki,vÑn,??????,??????,???,??????????,??????,arkada?,dost,????,????,?????,do'st,ng??i b?n,ffrind,umhlobo,???????,ore,umngane
husband,man,burri,??,?????,???????,?r,senarra,???,??????,mu?,??????,marit,bana,mwamuna,??,??,maritu,suprug,man?el,mand,man,edzo,abikaasa,asawa,aviomies,mari,man,home,?????,Mann,Â??????,???,mari,miji,k?ne,??????,???,tus txiv,fÇrj,Eiginma?ur,di,Suami,fear cÇile,marito,?,bojomu,???,?????,????,umugabo,??,màr,?????,???,virum,v?rs,vyras,Mann,??????,lehilahy,suami,?????????,ra?el,tane,????,????? ??,????????,???,mann,??????,????,????,m??,marido,???,so?,???,tane,cäile,??????,monna,murume,???,?????????????,man?el,mo?,ninkeeda,marido,carogÇ,mume,man,??????,?????,??,????,????,koca,adamsy,???????,????,????,er,ng??i ch?ng,gwr,umyeni,????,?k?,umyeni
light,lig,dritâ,????,???,?????,yÅngÅl,argia,??????,???,svjetlo,????????,llum,kahayag,kuwala,?,?,luce,svjetlo,sv?tlo,lys,licht,lumo,valgus,liwanag,valo,lumiäre,ljocht,luz,???????,Licht,Ì??,??????,limyä,haske,kukui,????,?????,teeb,fÇny,Lj¢s,çhä,cahaya,solas,leggero,?,cahya,??????,?????,?????,urumuri,?,sivik,?????,??????????,lux,gaisma,?viesa,Liicht,????????,fahazavana,cahaya,????????,dawl,marama,??????,?????,?????,??????,lett,????,? .?,???,lekki,luz,??????,u?oar?,????,malamalama,aotrom,??????,khanya,chiedza,?????,?????,svetlo,svetloba,light,luz,cahaya,mwanga,ljus,?????,???,???????,?????,???,???k,?agtylyk,??????,?????,???,yorug'lik,†nh s†ng,golau,ukukhanya,????,ina,ukukhanya
love,lief,dashuri,???,??,???,sevgi,maite,???????,???????,ljubav,??????,amor,nahigugma,ndimakukondani,?,?,amore,ljubav,milovat,elsker,liefde,love,armastus,pag-ibig,rakkaus,amour,leafde,amor,???????,Liebe,‡??„?,?????,renmen,son,aloha,????,???????,hlub,szerelem,?st,n'anya,cinta,gr†,amore,?,tresna,???????,????????,???????,urukundo,??,evån,?????,???,diligitis,m?lest?ba,meil?,LÇift,?????,fitiavana,suka,??????,im?abba,aroha,?????,???????,???????????????,?????,kjërlighet,?????,????,???,mi?o??,amor,????,dragoste,??????,alofa,ghaoil,?????,rata,rudo,????,????,milova?,ljubezen,jeclahay,amor,bogoh,upendo,kÑrlek,???? ??????,?????,????????,?????,???????,A?k,sî?gi,?????,????,????????,sevgi,yàu,cariad,uthando,????,ni ife,uthando
